Video ID,Title,Publish Date,Link,Views_Gained,Views_2026-03-14,Views_2026-03-10,Views_2026-03-11,Views_2026-03-12,Views_2026-03-13
agifyuQrXW8,"If Someone Disrespects You, Do THIS Immediately | Stoic Lessons",2025-11-27T12:40:00Z,https://www.youtube.com/watch?v=agifyuQrXW8,2.0,177.0,170.0,171.0,171.0,175.0
qUd0X0Wn4-s,The Calm Response That Stops Rude People Fast,2025-11-26T12:40:02Z,https://www.youtube.com/watch?v=qUd0X0Wn4-s,0.0,175.0,175.0,175.0,175.0,175.0
FqpFUsYO-AQ,6 Reasons No One Takes You Seriously (Stoic Self-Respect Advice),2025-12-19T12:45:06Z,https://www.youtube.com/watch?v=FqpFUsYO-AQ,0.0,165.0,165.0,165.0,165.0,165.0
bMVVPaC5TNc,People Don’t Respect You? Stop Doing These 5 Things | Stoic Wisdom,2025-12-05T01:00:51Z,https://www.youtube.com/watch?v=bMVVPaC5TNc,3.0,164.0,157.0,158.0,159.0,161.0
Ax9bIpocI7Y,Feel Invisible? 3 Stoic Shifts To Take Your Worth Back | Stoic Wisdom,2025-12-01T12:40:00Z,https://www.youtube.com/watch?v=Ax9bIpocI7Y,0.0,157.0,154.0,155.0,155.0,157.0
_yE_ZMKH03Y,Stop Overreacting When People Disrespect You – 7 Stoic Rules to Keep Your Calm | Stoic Wisdom,2025-12-12T00:45:06Z,https://www.youtube.com/watch?v=_yE_ZMKH03Y,0.0,140.0,140.0,140.0,140.0,140.0
fTOId4CuA8U,"When They Speak In Fog, Do This (Stoic Rule)",2025-12-29T12:01:17Z,https://www.youtube.com/watch?v=fTOId4CuA8U,0.0,140.0,140.0,140.0,140.0,140.0
-XsO32PwAMk,Stop Letting People Disrespect You – 7 Stoic “Don’ts” That Keep Your Power,2025-12-09T00:45:00Z,https://www.youtube.com/watch?v=-XsO32PwAMk,0.0,133.0,133.0,133.0,133.0,133.0
O3Td8x6qLJw,5 Stoic Rules Men Use To Stop Manipulators Walking All Over Them | Stoic Wisdom,2025-12-11T00:45:05Z,https://www.youtube.com/watch?v=O3Td8x6qLJw,0.0,130.0,130.0,130.0,130.0,130.0
0w4OAOyEEUE,"When They Interrupt You, Do This in 3 Seconds (Stoic)",2025-12-18T12:45:00Z,https://www.youtube.com/watch?v=0w4OAOyEEUE,0.0,128.0,128.0,128.0,128.0,128.0
GO53yD8kmuY,13 Signs You're Being DISRESPECTED and Need to Take Action Now,2025-12-17T01:00:19Z,https://www.youtube.com/watch?v=GO53yD8kmuY,0.0,115.0,114.0,115.0,115.0,115.0
-vU8JsRIpLA,Disrespected? Use the 3-Second Stoic Rule (Marcus Aurelius),2025-12-21T10:30:00Z,https://www.youtube.com/watch?v=-vU8JsRIpLA,0.0,96.0,96.0,96.0,96.0,96.0
41_ESKOfX-c,"If You Don’t Respect Yourself, This Will Happen (Stoic Warning)",2025-12-03T12:40:00Z,https://www.youtube.com/watch?v=41_ESKOfX-c,0.0,90.0,86.0,88.0,88.0,90.0
pYH8XAZ8h0A,STOP TOLERATING DISRESPECT — Set the Line Without Drama,2026-02-11T12:01:32Z,https://www.youtube.com/watch?v=pYH8XAZ8h0A,0.0,86.0,84.0,84.0,86.0,86.0
IKtI1Kc9YC8,You’re Not Kind — You’re Being Used (5 Stoic Truths),2025-12-20T12:45:02Z,https://www.youtube.com/watch?v=IKtI1Kc9YC8,0.0,84.0,84.0,84.0,84.0,84.0
IajSGqkzNxU,Why You’re Ignored And Disrespected (The Stoic Brutal Truth),2025-12-16T00:45:02Z,https://www.youtube.com/watch?v=IajSGqkzNxU,0.0,83.0,83.0,83.0,83.0,83.0
XyJguGsse9g,Why No One Respects You – 7 Habits That Kill Your Self-Respect,2025-12-08T01:00:50Z,https://www.youtube.com/watch?v=XyJguGsse9g,0.0,73.0,73.0,73.0,73.0,73.0
p_Z683xxqfs,Always Available? That’s Why They Don’t Respect You (5 Stoic Rules),2025-12-14T00:45:06Z,https://www.youtube.com/watch?v=p_Z683xxqfs,0.0,71.0,71.0,71.0,71.0,71.0
5IXlofJxEUg,"When Someone Ignores You, Walk Away With Dignity (Stoic Guide)",2025-12-15T00:30:06Z,https://www.youtube.com/watch?v=5IXlofJxEUg,0.0,69.0,67.0,67.0,67.0,69.0
BypRuE0bqNg,"If They Don’t Respect You, Walk Away (5 Seneca Rules)",2025-12-22T12:00:31Z,https://www.youtube.com/watch?v=BypRuE0bqNg,0.0,69.0,69.0,69.0,69.0,69.0
D24CWt5ahQA,"When They JOKE AT YOUR EXPENSE, Say This (Stoic Boundary)",2026-01-10T12:00:21Z,https://www.youtube.com/watch?v=D24CWt5ahQA,0.0,68.0,68.0,68.0,68.0,68.0
nygpWoYyt3M,11 Stoic Ways to Deal With Manipulators (Without Losing Your Calm),2025-12-26T12:01:40Z,https://www.youtube.com/watch?v=nygpWoYyt3M,0.0,63.0,63.0,63.0,63.0,63.0
-gHiXrx2ie4,How to Gain Respect Without Acting Fake or Aggressive | Stoic Lessons,2025-12-06T01:00:00Z,https://www.youtube.com/watch?v=-gHiXrx2ie4,0.0,60.0,60.0,60.0,60.0,60.0
1A1bXruIgD4,Disrespected? These 10 Manipulative Phrases Make You Apologize (Stoic Replies),2025-12-24T12:00:02Z,https://www.youtube.com/watch?v=1A1bXruIgD4,0.0,60.0,60.0,60.0,60.0,60.0
wWnTzR023t8,How to Make People Respect You Without Chasing Anyone | Stoic Lessons,2025-12-07T01:01:24Z,https://www.youtube.com/watch?v=wWnTzR023t8,2.0,52.0,49.0,49.0,49.0,50.0
fMZNVUsnWlw,Low Self-Worth: 3 Stoic Rules To Rebuild Your Inner Value,2025-12-02T12:40:02Z,https://www.youtube.com/watch?v=fMZNVUsnWlw,1.0,50.0,49.0,49.0,49.0,49.0
nvybbwOMwIA,NOT THAT TONE — The CALM RESPONSE TO DISRESPECT That Ends It FAST (3 Steps),2026-02-04T12:01:34Z,https://www.youtube.com/watch?v=nvybbwOMwIA,0.0,47.0,47.0,47.0,47.0,47.0
Vye4llkNzwM,Stop Overreacting — Do This Before You Speak (5 Stoic Rules) | Stoic Wisdom,2026-02-02T12:00:57Z,https://www.youtube.com/watch?v=Vye4llkNzwM,0.0,47.0,47.0,47.0,47.0,47.0
TH331d5OGVs,Disrespected in a Meeting? Do This (Stoic 30-Second Rule),2025-12-25T12:01:05Z,https://www.youtube.com/watch?v=TH331d5OGVs,0.0,47.0,47.0,47.0,47.0,47.0
B5ip0KwwVig,How To Command Respect As A Quiet Man | Stoic Wisdom,2025-12-04T12:40:00Z,https://www.youtube.com/watch?v=B5ip0KwwVig,0.0,47.0,47.0,47.0,47.0,47.0
TgBjzPpNOwA,The Rule of the 3 Silences (Most People Never Learn This),2026-01-19T12:00:54Z,https://www.youtube.com/watch?v=TgBjzPpNOwA,0.0,45.0,45.0,45.0,45.0,45.0
QvJhQNdR-iU,SIGNS People Don’t Respect You — The Pattern You NORMALIZED,2026-02-10T12:00:44Z,https://www.youtube.com/watch?v=QvJhQNdR-iU,1.0,42.0,40.0,40.0,41.0,41.0
_gsavkGE-ko,You’re Being Manipulated If You Do This (5 Stoic Signs),2025-12-23T12:01:15Z,https://www.youtube.com/watch?v=_gsavkGE-ko,0.0,42.0,42.0,42.0,42.0,42.0
2Hqop6uU8PY,“So Sensitive?” Here’s the Calm Stoic Response That Ends It,2026-01-29T12:00:08Z,https://www.youtube.com/watch?v=2Hqop6uU8PY,0.0,39.0,39.0,39.0,39.0,39.0
mutsmOJoJmA,"If They Mock You, DON’T REACT — Do This",2026-02-05T12:01:32Z,https://www.youtube.com/watch?v=mutsmOJoJmA,0.0,35.0,35.0,35.0,35.0,35.0
pbnz7CtTdPs,What to Say When Someone CROSSES the Line — Calm Boundary Line,2026-02-12T12:01:35Z,https://www.youtube.com/watch?v=pbnz7CtTdPs,1.0,32.0,29.0,30.0,31.0,31.0
AB5Tw2Yd4qE,"When Your Point Gets Ignored, Don’t Repeat It—Say This (Stoic Rule)",2026-01-04T12:00:19Z,https://www.youtube.com/watch?v=AB5Tw2Yd4qE,0.0,32.0,31.0,31.0,32.0,32.0
QMNDbqKurrM,Your Boss Gets Loud? Say This One Line,2026-01-15T12:01:00Z,https://www.youtube.com/watch?v=QMNDbqKurrM,0.0,31.0,31.0,31.0,31.0,31.0
nSSLusuBoC8,"SET BOUNDARIES, GAIN RESPECT: 5 STOIC RULES (For People Who Get WALKED OVER)",2025-12-30T12:01:39Z,https://www.youtube.com/watch?v=nSSLusuBoC8,0.0,30.0,29.0,29.0,30.0,30.0
f5HDPl175Uo,5 Rules for a Silent Response to Disrespect That ENDS It,2026-02-17T12:01:13Z,https://www.youtube.com/watch?v=f5HDPl175Uo,0.0,29.0,28.0,29.0,29.0,29.0
5Ydh9Xglz9s,"When They Try To Embarrass You, Do This",2026-02-03T12:00:24Z,https://www.youtube.com/watch?v=5Ydh9Xglz9s,0.0,29.0,28.0,28.0,29.0,29.0
aAQ7mppDEN0,"When They Interrupt You Repeatedly, Say THIS",2026-02-06T12:00:01Z,https://www.youtube.com/watch?v=aAQ7mppDEN0,0.0,28.0,27.0,28.0,28.0,28.0
g54e8p6ylts,That “Quick Favor” Is Why They Disrespect You,2026-01-13T12:01:33Z,https://www.youtube.com/watch?v=g54e8p6ylts,0.0,28.0,28.0,28.0,28.0,28.0
IptWIj8nw68,"The Moment You Feel Ignored, Use This QUIET DETACHMENT Rule",2026-02-25T12:00:37Z,https://www.youtube.com/watch?v=IptWIj8nw68,0.0,28.0,26.0,27.0,27.0,28.0
4HvMmP8Bnwg,People Ignore You? Use These 5 Stoic Phrases (Respect Instantly),2025-12-31T12:00:09Z,https://www.youtube.com/watch?v=4HvMmP8Bnwg,0.0,27.0,27.0,27.0,27.0,27.0
iNy-jTqAo1k,"When Someone Tries to Control Your Emotions, Say This (Stoic)",2025-12-27T12:01:24Z,https://www.youtube.com/watch?v=iNy-jTqAo1k,0.0,27.0,27.0,27.0,27.0,27.0
oqSYhboJV-U,When They Say “Just Trust Me”… Ask This (Stoic Rule),2026-01-28T12:01:28Z,https://www.youtube.com/watch?v=oqSYhboJV-U,0.0,25.0,25.0,25.0,25.0,25.0
QLcbukm_Gyw,"When Someone Tests Your Boundaries, Do This Once",2025-12-28T11:00:47Z,https://www.youtube.com/watch?v=QLcbukm_Gyw,0.0,24.0,24.0,24.0,24.0,24.0
VTmkthtCxrg,"If They Insult You, Say This Calm Line",2026-01-23T12:00:56Z,https://www.youtube.com/watch?v=VTmkthtCxrg,0.0,24.0,23.0,24.0,24.0,24.0
b3EteMX2Kdc,The Lie That Steals Your Power (Don’t Answer This),2026-01-30T12:01:11Z,https://www.youtube.com/watch?v=b3EteMX2Kdc,0.0,24.0,24.0,24.0,24.0,24.0
DuhITh1NRwU,This Is a Test of Your STABILITY — Don’t React Like Most People,2026-02-26T12:00:32Z,https://www.youtube.com/watch?v=DuhITh1NRwU,0.0,23.0,20.0,21.0,23.0,23.0
L9deyzSK7_Q,DISRESPECT Disguised as a Joke: The ONE Line That BREAKS It,2026-02-16T12:00:39Z,https://www.youtube.com/watch?v=L9deyzSK7_Q,0.0,21.0,20.0,20.0,20.0,21.0
e_nmPWO3ZAk,WHY You Can’t Say NO (The GUILT Trap),2026-02-20T12:01:09Z,https://www.youtube.com/watch?v=e_nmPWO3ZAk,0.0,20.0,20.0,20.0,20.0,20.0
8SGifD-OyM4,7 Rules: How to STOP People Pleasing and Keep Respect,2026-02-19T12:00:13Z,https://www.youtube.com/watch?v=8SGifD-OyM4,0.0,18.0,17.0,18.0,18.0,18.0
_qmVTMUQSDg,10 STOIC PHRASES to SILENCE MANIPULATORS (Calm Boundaries),2026-01-20T12:01:16Z,https://www.youtube.com/watch?v=_qmVTMUQSDg,0.0,18.0,18.0,18.0,18.0,18.0
MKW5JoA5sbY,Expert Reveals TOP 3 Phrases to Keep Your Self-Respect Intact Under Pressure,2026-02-24T12:00:40Z,https://www.youtube.com/watch?v=MKW5JoA5sbY,0.0,17.0,15.0,17.0,17.0,17.0
Qc8UgcIR4Pk,"When Someone DISRESPECTS You, Do THIS Before You React",2026-03-10T12:00:47Z,https://www.youtube.com/watch?v=Qc8UgcIR4Pk,0.0,17.0,0.0,7.0,13.0,17.0
ZXBHbfQvATg,What's the SECRET to Resetting with CALM POWER when They Raise Their Voice?,2026-02-23T12:01:02Z,https://www.youtube.com/watch?v=ZXBHbfQvATg,0.0,16.0,14.0,14.0,16.0,16.0
UMpx0zHjbYs,Why No One Respects You - The Daily Habits That Are Lowering Your VALUE,2026-03-13T12:01:01Z,https://www.youtube.com/watch?v=UMpx0zHjbYs,15.0,15.0,0.0,0.0,0.0,0.0
PWGDpCYPCYc,Never Let DISRESPECT Decide Your TIMING,2026-03-12T12:00:43Z,https://www.youtube.com/watch?v=PWGDpCYPCYc,2.0,13.0,0.0,0.0,0.0,11.0
KSVrp5ygmSo,"When They Hide Disrespect as a Joke, Say This Calm Line",2026-01-27T12:00:42Z,https://www.youtube.com/watch?v=KSVrp5ygmSo,0.0,12.0,12.0,12.0,12.0,12.0
XxYbaiZbOjA,People Keep DISRESPECTING You Because The Door Never Really CLOSES,2026-03-11T12:00:55Z,https://www.youtube.com/watch?v=XxYbaiZbOjA,2.0,10.0,0.0,0.0,6.0,8.0
meLXD6WKYvo,STOP Being Too NICE Without Becoming Cold — 7 Rules,2026-02-18T12:01:30Z,https://www.youtube.com/watch?v=meLXD6WKYvo,0.0,7.0,6.0,7.0,7.0,7.0
5yKmOhK5zoM,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
akJtrYZ4AmU,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
